Size;Speed;StartingPredators;StartingPrey;EnergyMax;EnergyMin;EnergyMoveCost;EnergyFood;EnergyStart;ReproductionRequirement;ReproductionCost;BaseEnergyCost;PlantGrowthPerTick;TurnSpeed;StartingPlants;SPeciationFreshhold;AdddNodeMutationRate;AddConnectionMutationRate;WeightMutationRate;RemoveConnectionRate;PreyVisionAngel;PreyVisionAngels;PreyVisionRange;PreyInputNodes;PredatorVisionAngel;PredatorVisionAngels;PredatorVisionRange;PredatorInputNodes
125;1;200;400;100;0;0.125;45;25;70;60;0.075;0.75;45;0.01;0.0001;50;15;20;1;35;6;18;12;35;6;18;6
tick;PreyPopulation;PredatorPopulation;PlantPopulation;PreyDeathCausePredator;PreyDeathCauseStarvation;PreyDeathCauseAge;PreyDeathCauseEdge;PredatorDeathCauseStarvation;PredatorDeathCauseAge;PredatorDeathCauseEdge;PlantDeathCausePrey;PreyAvredgeGenomeSize;PredatorAvredgeGenomeSize;PreyTimeSinceLastFood;PredatorTimeSinceLastFood;PreyAvredgeLifeSpan;PredatorAvredgeLifeSpan;PreyChildren;PredatorChildren;PreyDeath;PredatorDeath
0;400;200;180;0;0;0;0;0;0;0;0;1.126834;1.170834;0;0;NaN;NaN;0;0;0;0
1;381;200;165;19;0;0;0;0;0;0;0;1.12686;1.170834;0;0;1;NaN;0;0;19;0
2;385;210;165;1;0;0;0;0;0;0;0;1.127273;1.17672;0.03896104;0.09047619;2;NaN;0;0;1;0
3;386;211;166;0;0;0;0;0;0;0;0;1.127375;1.176673;0.08031088;0.1848341;NaN;NaN;0;0;0;0
4;386;211;167;0;0;0;0;0;0;0;0;1.127375;1.176673;0.1217617;0.2796209;NaN;NaN;0;0;0;0
5;386;211;168;0;0;0;0;0;0;0;0;1.127375;1.176673;0.1632124;0.3744076;NaN;NaN;0;0;0;0
6;386;211;169;0;0;0;0;0;0;0;0;1.127375;1.176673;0.2046632;0.4691943;NaN;NaN;0;0;0;0
7;386;211;170;0;0;0;0;0;0;0;0;1.127375;1.176673;0.246114;0.5639811;NaN;NaN;0;0;0;0
8;386;211;170;0;0;0;0;0;0;0;0;1.127375;1.176673;0.2875648;0.6587678;NaN;NaN;0;0;0;0
9;386;211;170;0;0;0;0;0;0;0;0;1.127375;1.176673;0.3290156;0.7535545;NaN;NaN;0;0;0;0
