Size;Speed;StartingPredators;StartingPrey;EnergyMax;EnergyMin;EnergyMoveCost;EnergyFood;EnergyStart;ReproductionRequirement;ReproductionCost;BaseEnergyCost;PlantGrowthPerTick;TurnSpeed;StartingPlants;SPeciationFreshhold;AdddNodeMutationRate;AddConnectionMutationRate;WeightMutationRate;RemoveConnectionRate;PreyVisionAngel;PreyVisionAngels;PreyVisionRange;PreyInputNodes;PredatorVisionAngel;PredatorVisionAngels;PredatorVisionRange;PredatorInputNodes
125;1;0;400;100;0;0.1;45;25;70;60;0.1;0.75;45;0.01;0.0001;50;15;20;1;35;6;18;12;35;6;18;6
tick;PreyPopulation;PredatorPopulation;PlantPopulation;PreyDeathCausePredator;PreyDeathCauseStarvation;PreyDeathCauseAge;PreyDeathCauseEdge;PredatorDeathCauseStarvation;PredatorDeathCauseAge;PredatorDeathCauseEdge;PlantDeathCausePrey;PreyAvredgeGenomeSize;PredatorAvredgeGenomeSize;PreyTimeSinceLastFood;PredatorTimeSinceLastFood;PreyAvredgeLifeSpan;PredatorAvredgeLifeSpan;PreyChildren;PredatorChildren;PreyDeath;PredatorDeath
0;400;0;160;0;0;0;0;0;0;0;0;1.101836;NaN;0;NaN;NaN;NaN;0;0;0;0
1;400;0;140;0;0;0;0;0;0;0;0;1.101836;NaN;0;NaN;NaN;NaN;0;0;0;0
2;410;0;140;0;0;0;0;0;0;0;0;1.102686;NaN;0.04634146;NaN;NaN;NaN;0;0;0;0
3;411;0;139;0;0;0;0;0;0;0;0;1.102679;NaN;0.09489051;NaN;NaN;NaN;0;0;0;0
4;411;0;140;0;0;0;0;0;0;0;0;1.102679;NaN;0.1484185;NaN;NaN;NaN;0;0;0;0
5;411;0;141;0;0;0;0;0;0;0;0;1.102679;NaN;0.2019465;NaN;NaN;NaN;0;0;0;0
6;411;0;142;0;0;0;0;0;0;0;0;1.102679;NaN;0.2554744;NaN;NaN;NaN;0;0;0;0
7;411;0;143;0;0;0;0;0;0;0;0;1.102679;NaN;0.3090024;NaN;NaN;NaN;0;0;0;0
8;411;0;143;0;0;0;0;0;0;0;0;1.102679;NaN;0.3625304;NaN;NaN;NaN;0;0;0;0
9;412;0;144;0;0;0;0;0;0;0;0;1.102673;NaN;0.4174757;NaN;NaN;NaN;0;0;0;0
10;412;0;145;0;0;0;0;0;0;0;0;1.102673;NaN;0.473301;NaN;NaN;NaN;0;0;0;0
11;412;0;146;0;0;0;0;0;0;0;0;1.102673;NaN;0.5291262;NaN;NaN;NaN;0;0;0;0
12;412;0;147;0;0;0;0;0;0;0;0;1.102673;NaN;0.5849515;NaN;NaN;NaN;0;0;0;0
13;412;0;147;0;0;0;0;0;0;0;0;1.102673;NaN;0.6407767;NaN;NaN;NaN;0;0;0;0
14;412;0;148;0;0;0;0;0;0;0;0;1.102673;NaN;0.6966019;NaN;NaN;NaN;0;0;0;0
15;412;0;148;0;0;0;0;0;0;0;0;1.102673;NaN;0.7524272;NaN;NaN;NaN;0;0;0;0
16;412;0;148;0;0;0;0;0;0;0;0;1.102673;NaN;0.8106796;NaN;NaN;NaN;0;0;0;0
17;412;0;148;0;0;0;0;0;0;0;0;1.102673;NaN;0.8689321;NaN;NaN;NaN;0;0;0;0
18;412;0;149;0;0;0;0;0;0;0;0;1.102673;NaN;0.9271845;NaN;NaN;NaN;0;0;0;0
19;412;0;150;0;0;0;0;0;0;0;0;1.102673;NaN;0.9854369;NaN;NaN;NaN;0;0;0;0
20;412;0;151;0;0;0;0;0;0;0;0;1.102673;NaN;1.043689;NaN;NaN;NaN;0;0;0;0
21;412;0;152;0;0;0;0;0;0;0;0;1.102673;NaN;1.101942;NaN;NaN;NaN;0;0;0;0
22;412;0;153;0;0;0;0;0;0;0;0;1.102673;NaN;1.160194;NaN;NaN;NaN;0;0;0;0
23;412;0;154;0;0;0;0;0;0;0;0;1.102673;NaN;1.218447;NaN;NaN;NaN;0;0;0;0
24;412;0;155;0;0;0;0;0;0;0;0;1.102673;NaN;1.276699;NaN;NaN;NaN;0;0;0;0
25;412;0;156;0;0;0;0;0;0;0;0;1.102673;NaN;1.334951;NaN;NaN;NaN;0;0;0;0
26;412;0;157;0;0;0;0;0;0;0;0;1.102673;NaN;1.393204;NaN;NaN;NaN;0;0;0;0
27;412;0;158;0;0;0;0;0;0;0;0;1.102673;NaN;1.451456;NaN;NaN;NaN;0;0;0;0
28;412;0;157;0;0;0;0;0;0;0;0;1.102673;NaN;1.509709;NaN;NaN;NaN;0;0;0;0
29;412;0;158;0;0;0;0;0;0;0;0;1.102673;NaN;1.570388;NaN;NaN;NaN;0;0;0;0
30;412;0;159;0;0;0;0;0;0;0;0;1.102673;NaN;1.631068;NaN;NaN;NaN;0;0;0;0
31;412;0;159;0;0;0;0;0;0;0;0;1.102673;NaN;1.691748;NaN;NaN;NaN;0;0;0;0
32;412;0;160;0;0;0;0;0;0;0;0;1.102673;NaN;1.754854;NaN;NaN;NaN;0;0;0;0
33;412;0;160;0;0;0;0;0;0;0;0;1.102673;NaN;1.817961;NaN;NaN;NaN;0;0;0;0
34;412;0;161;0;0;0;0;0;0;0;0;1.102673;NaN;1.881068;NaN;NaN;NaN;0;0;0;0
35;412;0;162;0;0;0;0;0;0;0;0;1.102673;NaN;1.944175;NaN;NaN;NaN;0;0;0;0
36;412;0;162;0;0;0;0;0;0;0;0;1.102673;NaN;2.007282;NaN;NaN;NaN;0;0;0;0
37;412;0;163;0;0;0;0;0;0;0;0;1.102673;NaN;2.070388;NaN;NaN;NaN;0;0;0;0
